Portal ID,Name Provided,THE Name,Country,Clinical applicable?,EDITED?,PPP / FX rate used 2013,Reason Not Ranked,Previous rank,RANK LABEL 2015–16 H,OVERALL SCORE 2015-16,TEACHING 2015-16,RESEARCH 2015-16,CITATIONS 2015-16,INDUSTRY 2015-16,INTERNAT 2015-16,Teaching Rank,Research Rank,Citations Rank,Industry Income Rank,International Outlook Rank,T3,IMPUTED T3?,T4,IMPUTED T4?,T1,IMPUTED T1?,T5,IMPUTED T5?,T2,IMPUTED T2?,R3,IMPUTED R3?,R2,IMPUTED R2?,R1,IMPUTED R1?,C1,IMPUTED C1?,E1,IMPUTED E1?,I2,IMPUTED I2?,I3,IMPUTED I3?,I1,IMPUTED I1?,Number of papers,Number of internat papers,FWCI citation score,FWCI citation score (country-norm),:clinical:academicStaff:international,EDITED?,:clinical:academicStaff:total,EDITED?,:clinical:academicStaff:women,EDITED?,:clinical:doctoralNewStudentIntake:total,EDITED?,:clinical:doctoratesAwarded:total,EDITED?, :clinical:institutionalIncome:total ,EDITED?,:clinical:masterDegreesAwarded:total,EDITED?,:clinical:masterNewStudentIntake:international,EDITED?,:clinical:masterNewStudentIntake:total,EDITED?,:clinical:masterNewStudentIntake:women,EDITED?, :clinical:researchIncome:industryAndCommerce ,EDITED?, :clinical:researchIncome:total ,EDITED?,:clinical:researchStaff:total,EDITED?,:clinical:students:international,EDITED?,:clinical:students:total,EDITED?,:clinical:students:women,EDITED?,:clinical:undergraduateDegreesAwarded:total,EDITED?,:clinical:undergraduateNewStudentIntake:international,EDITED?,:clinical:undergraduateNewStudentIntake:total,EDITED?,:clinical:undergraduateNewStudentIntake:women,EDITED?,SSR,Doc : ug,Doc : staff,Institutional Income per staff (provided currency),Institutional Income per staff PPP'd,Research Income per staff (provided currency),Research Income per staff (PPP'd),Industry Income per staff,Industry Income per staff (PPP'd),Internat Staff,Internat Students,Female students
i-04108372,Aalborg University,Aalborg University,Denmark,TRUE,,#REF!,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1414,723,55.28,26.72,27,,90,,23,,56,,21,,208613000,,92,,18,,270,,164,,8669000,,101968000,,27,,115,,1285,,641,,193,,19,,406,,182,,14.27777778,9.19047619,4.285714286,2317922.222,#REF!,1132977.778,#REF!,96322.22222,#REF!,0.3,0.089494163,0.498832685
i-87151042,Aalto University,Aalto University,Finland,FALSE,,#REF!,Institution reported subject not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#DIV/0!,#DIV/0!
i-06644763,Aarhus University,Aarhus University,Denmark,TRUE,,#REF!,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9240,4641,90.62,75.05,39,,273,,103,,203,,138,,1336540,,459,,61,,733,,537,,186165,,825095,,84,,370,,3272,,2208,,691,,75,,773,,530,,11.98534799,5.007246377,1.97826087,4895.750916,#REF!,3022.326007,#REF!,681.9230769,#REF!,0.142857143,0.113080685,0.674816626
i-74539501,Abertay University,Abertay University,United Kingdom,TRUE,,#REF!,Your institution did not meet the publication threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,,25.48,,13.88,,0,,0,,0,,9,,0.5,,12,,11,,2000,,73000,,0,,93.5,,753.5,,412.38,,142,,21,,179.5,,98,,29.5722135,#DIV/0!,#DIV/0!,0,#REF!,2864.992151,#REF!,78.49293564,#REF!,0.147959184,0.124087591,0.547285999
i-97330263,Aberystwyth University,Aberystwyth University,United Kingdom,TRUE,,#REF!,Insufficient staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,9.21,,3.17,,0.85,,1,,0,,0,,0.85,,5.1,,2.55,,35000,,47000,,0.17,,15.85,,284.18,,75.22,,69.5,,8,,88.8,,21,,30.85559175,69.5,9.21,0,#REF!,5103.148751,#REF!,3800.217155,#REF!,0.173724213,0.055774509,0.264691393
i-85495914,Adam Mickiewicz University,Adam Mickiewicz University,Poland,FALSE,,#REF!,Institution reported subject not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#DIV/0!,#DIV/0!
i-71741891,African School of Economics,African School of Economics,Benin,FALSE,,#REF!,Institution reported subject not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#DIV/0!,#DIV/0!
i-27630271,AGH University of Science and Technology,AGH University of Science and Technology,Poland,FALSE,,#REF!,Institution reported subject not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#DIV/0!,#DIV/0!
i-40515533,Ain Shams University,Ain Shams University,Egypt,TRUE,,#REF!,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2333,704,6.99,9.16,0,Edited,4902,,3408,,638,,273,,0,Edited,2314,,69,,1565,,780,,6000000,,14000000,,2200,,609,,10407,,5911,,1972,,93,,2415,,1528,,2.123011016,7.223443223,17.95604396,0,#REF!,2855.977152,#REF!,1223.990208,#REF!,0,0.058518305,0.567983088
i-97637161,Aix-Marseille University,Aix-Marseille University,France,TRUE,,#REF!,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6493,2352,58.53,57.11,5,,146,,56,,375,,1194,,10509462,,528,,178,,301,,168,,1466821,,5513238,Edited,241,,772,,12109,,8491,,2012,,47,,1317,,1052,,82.93835616,1.685092127,0.122278057,71982.61644,#REF!,37761.90411,#REF!,10046.71918,#REF!,0.034246575,0.063754232,0.701213973
