University,CalTech,Cambridge,ETH Zurich,UCL,Poppleton
PhD to First degree,96.2,63.8,86.0,64.6,82.9
PhD to Staff,97.4,92.1,85.3,96.2,76.5
Teaching Reputation,98.3,100.0,100.0,100.0,100.0
Income to Staff,96.1,63.7,99.3,76.9,99.8
Students to Staff,83.5,56.9,77.0,56.0,69.7
Papers to Staff,91.4,99.9,89.3,100.0,42.9
Research Income to Staff,100.0,94.3,91.7,83.6,100.0
Research Reputation,98.9,100.0,100.0,100.0,100.0
Citations,99.8,98.8,99.9,97.0,99.7
Industry Income,97.8,73.1,63.3,55.0,95.4
International Staff,30.5,91.2,94.8,83.9,94.6
Publications with colaboration,70.9,94.5,52.8,92.7,60.1
International Students,90.5,97.7,81.2,97.9,97.4
