Class,Teaching,Research,Citations,Industry Income,International Outlook,Name
0,90.922,98.902,86.182,34.35,88.403,University of Oxford
0,90.55,97.488,84.88,46.982,92.904,Imperial College London
0,92.516,98.242,84.922,34.726,84.587,University of Cambridge
0,97.744,94.358,87.181,56.595,62.361,Stanford University
0,87.294,97.098,84.359,74.426,97.271,ETH ZŸrich _ Swiss Federal Institute of Technology Zurich
0,95.639,86.239,87.077,93.015,75.207,Massachusetts Institute of Technology
0,93.679,92.064,87.039,45.355,69.145,Princeton University
0,87.041,95.759,82.791,29.171,87.809,University College London
0,94.115,84.3,86.516,100,38.822,Duke University
0,83.48,95.92,87.023,50.705,46.657,Carnegie Mellon University
0,80.422,82.358,85.017,58.708,98.737,ƒcole Polytechnique F_d_rale de Lausanne
0,88.199,91.79,84.117,28.136,48.02,Cornell University
0,95.209,83.664,84.676,36.974,47.188,Yale University
0,90.442,88.309,85.914,41.279,39.232,"University of California, Los Angeles"
0,80.863,87.934,83.578,28.684,81.938,University of Edinburgh
0,89.862,87.173,82.912,49.477,37.449,University of Michigan
0,78.185,88.111,81.465,30.428,81.538,KingÕs College London
0,82.247,90.369,79.397,42.492,62.914,University of Toronto
0,73.282,90.677,77.052,99.973,57.026,Katholieke Universiteit Leuven
0,79.047,79.757,86.999,96.446,60.377,California Institute of Technology
0,74.408,88.956,76.362,55.906,75.703,University of Melbourne
0,82.796,71.099,84.963,26.026,42.543,Brown University
0,74.951,84.677,80.101,36.306,80.244,University of British Columbia
0,72.809,79.557,79.757,100,61.453,Wageningen University and Research Center
0,66.772,82.602,86.886,86.676,51.328,"University of California, Santa Barbara"
0,84.348,78.702,86.031,36.817,34.323,University of Washington
0,80.906,76.646,83.053,23.46,79.183,London School of Economics and Political Science
0,74.336,86.768,75.746,67.507,56.976,Georgia Institute of Technology
1,84.128,75.476,86.532,30.743,49.128,University of Chicago
1,64.397,75.506,75.688,99.678,89.152,Nanyang Technological University (NTU Singapore)
1,80.458,86.658,56.725,46.979,98.312,University of Hong Kong
1,75.362,80.457,79.834,23.016,63.008,Karolinska Institute
