Institutions,Teaching,Research,Citations,Industry Income,International Outlook
Group A,84.128,75.476,86.532,30.743,49.128
Group A,64.397,75.506,75.688,99.678,89.152
Group A,80.458,86.658,56.725,46.979,98.312
Group A,75.362,80.457,79.834,23.016,63.008
Group A,80.459,81.06,73.641,61.63,50.614
Poppleton,78.427,84.106,73.507,50.48,43.238
Group A,87.884,71.827,83.799,25.159,32.391
Group A,74.83,84.064,65.909,98.512,48.989
Group A,65.853,82.134,71.052,61.61,72.16
Group A,74.166,68.502,86.324,27.961,29.106
Group A,82.735,78.637,77.257,41.906,20.785
Group A,75.543,80.17,82.027,56.361,18.424
Group B,71.936,89.738,56.725,99.896,69.719
Group B,78.865,80.09,77.307,46.073,31.934
Group B,73.585,80.051,68.583,31.882,77.324
Group B,77.862,61.965,85.552,25.039,35.63
Group B,69.942,81.586,67.603,66.098,71.893
Group B,63.786,68.329,80.883,31.641,69.804
Group B,70.409,87.774,57.478,41.463,89.823
Group B,61.49,77.424,69.186,70.715,78.472
Group B,67.942,73.027,79.065,97.508,21.429
Group C,63.613,78.254,80.101,56.078,44.084
Group C,51.42,53.278,80.138,93.088,87.917
Group C,50.535,66.973,85.294,47.849,57.452
Group C,56.155,69.036,77.358,89.124,48.686
Group C,57.154,63.197,82.111,26.205,75.291
Group C,62.106,72.25,63.258,75.044,76.171
Group C,61.55,72.682,75.688,33.445,50.097
Group C,69.322,64.664,80.781,32.053,39.08
Group C,66.346,69.984,72.323,26.221,43.006
